accession	page_url	dest_dir	file_level	file_format	n_papers	dois	note
CNP0002199	https://db.cngb.org/data_resources/project/CNP0002199/	data/CNP/CNP0002199	Level 2	expression / single-cell matrices (CNSA)	3	10.1002/mco2.70713; 10.1038/s41422-023-00831-1; 10.1371/journal.pcbi.1014346	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0002432	https://db.cngb.org/data_resources/project/CNP0002432/	data/CNP/CNP0002432	Level 2	expression / single-cell matrices (CNSA)	3	10.1002/1878-0261.13373; 10.1016/j.fmre.2022.01.036; 10.1093/bib/bbaf210	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0002543	https://db.cngb.org/data_resources/project/CNP0002543/	data/CNP/CNP0002543	Level 2	expression / single-cell matrices (CNSA)	1	10.1002/advs.202203040	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0004138	https://db.cngb.org/data_resources/project/CNP0004138/	data/CNP/CNP0004138	Level 2	expression / single-cell matrices (CNSA)	1	10.1016/j.xcrm.2023.101231	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0004319	https://db.cngb.org/data_resources/project/CNP0004319/	data/CNP/CNP0004319	Level 2	expression / single-cell matrices (CNSA)	1	10.1038/s41467-025-58511-0	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0004755	https://db.cngb.org/data_resources/project/CNP0004755/	data/CNP/CNP0004755	Level 2	expression / single-cell matrices (CNSA)	1	10.1016/j.gendis.2024.101304	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0005078	https://db.cngb.org/data_resources/project/CNP0005078/	data/CNP/CNP0005078	Level 2	expression / single-cell matrices (CNSA)	1	10.1038/s41421-024-00656-1	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0005220	https://db.cngb.org/data_resources/project/CNP0005220/	data/CNP/CNP0005220	Level 2	expression / single-cell matrices (CNSA)	1	10.1016/j.xcrm.2024.101914	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0005291	https://db.cngb.org/data_resources/project/CNP0005291/	data/CNP/CNP0005291	Level 2	expression / single-cell matrices (CNSA)	1	10.1002/advs.202405914	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0005580	https://db.cngb.org/data_resources/project/CNP0005580/	data/CNP/CNP0005580	Level 2	expression / single-cell matrices (CNSA)	1	10.1002/imt2.272	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0005824	https://db.cngb.org/data_resources/project/CNP0005824/	data/CNP/CNP0005824	Level 2	expression / single-cell matrices (CNSA)	1	10.1038/s41392-025-02143-9	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0006024	https://db.cngb.org/data_resources/project/CNP0006024/	data/CNP/CNP0006024	Level 2	expression / single-cell matrices (CNSA)	1	10.1016/j.xcrm.2024.101914	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0006169	https://db.cngb.org/data_resources/project/CNP0006169/	data/CNP/CNP0006169	Level 2	expression / single-cell matrices (CNSA)	1	10.1002/advs.202411126	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
CNP0007731	https://db.cngb.org/data_resources/project/CNP0007731/	data/CNP/CNP0007731	Level 2	expression / single-cell matrices (CNSA)	1	10.1093/bib/bbaf718	metadata: matrices only (no FASTQ in format); on page still skip any fastq/fq files
