kind	accession	page_url	dest_dir	note
CNP	CNP0001417	https://db.cngb.org/data_resources/project/CNP0001417/	data/CNP/CNP0001417	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002199	https://db.cngb.org/data_resources/project/CNP0002199/	data/CNP/CNP0002199	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002310	https://db.cngb.org/data_resources/project/CNP0002310/	data/CNP/CNP0002310	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002432	https://db.cngb.org/data_resources/project/CNP0002432/	data/CNP/CNP0002432	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002535	https://db.cngb.org/data_resources/project/CNP0002535/	data/CNP/CNP0002535	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002543	https://db.cngb.org/data_resources/project/CNP0002543/	data/CNP/CNP0002543	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002742	https://db.cngb.org/data_resources/project/CNP0002742/	data/CNP/CNP0002742	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002781	https://db.cngb.org/data_resources/project/CNP0002781/	data/CNP/CNP0002781	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002966	https://db.cngb.org/data_resources/project/CNP0002966/	data/CNP/CNP0002966	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0002978	https://db.cngb.org/data_resources/project/CNP0002978/	data/CNP/CNP0002978	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0003197	https://db.cngb.org/data_resources/project/CNP0003197/	data/CNP/CNP0003197	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0003361	https://db.cngb.org/data_resources/project/CNP0003361/	data/CNP/CNP0003361	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0003724	https://db.cngb.org/data_resources/project/CNP0003724/	data/CNP/CNP0003724	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0003986	https://db.cngb.org/data_resources/project/CNP0003986/	data/CNP/CNP0003986	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004138	https://db.cngb.org/data_resources/project/CNP0004138/	data/CNP/CNP0004138	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004192	https://db.cngb.org/data_resources/project/CNP0004192/	data/CNP/CNP0004192	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004214	https://db.cngb.org/data_resources/project/CNP0004214/	data/CNP/CNP0004214	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004228	https://db.cngb.org/data_resources/project/CNP0004228/	data/CNP/CNP0004228	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004319	https://db.cngb.org/data_resources/project/CNP0004319/	data/CNP/CNP0004319	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004336	https://db.cngb.org/data_resources/project/CNP0004336/	data/CNP/CNP0004336	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004437	https://db.cngb.org/data_resources/project/CNP0004437/	data/CNP/CNP0004437	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004708	https://db.cngb.org/data_resources/project/CNP0004708/	data/CNP/CNP0004708	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004755	https://db.cngb.org/data_resources/project/CNP0004755/	data/CNP/CNP0004755	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004894	https://db.cngb.org/data_resources/project/CNP0004894/	data/CNP/CNP0004894	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0004966	https://db.cngb.org/data_resources/project/CNP0004966/	data/CNP/CNP0004966	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005053	https://db.cngb.org/data_resources/project/CNP0005053/	data/CNP/CNP0005053	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005078	https://db.cngb.org/data_resources/project/CNP0005078/	data/CNP/CNP0005078	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005220	https://db.cngb.org/data_resources/project/CNP0005220/	data/CNP/CNP0005220	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005245	https://db.cngb.org/data_resources/project/CNP0005245/	data/CNP/CNP0005245	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005291	https://db.cngb.org/data_resources/project/CNP0005291/	data/CNP/CNP0005291	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005294	https://db.cngb.org/data_resources/project/CNP0005294/	data/CNP/CNP0005294	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005537	https://db.cngb.org/data_resources/project/CNP0005537/	data/CNP/CNP0005537	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005559	https://db.cngb.org/data_resources/project/CNP0005559/	data/CNP/CNP0005559	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005580	https://db.cngb.org/data_resources/project/CNP0005580/	data/CNP/CNP0005580	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005627	https://db.cngb.org/data_resources/project/CNP0005627/	data/CNP/CNP0005627	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005654	https://db.cngb.org/data_resources/project/CNP0005654/	data/CNP/CNP0005654	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005824	https://db.cngb.org/data_resources/project/CNP0005824/	data/CNP/CNP0005824	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0005964	https://db.cngb.org/data_resources/project/CNP0005964/	data/CNP/CNP0005964	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0006024	https://db.cngb.org/data_resources/project/CNP0006024/	data/CNP/CNP0006024	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0006081	https://db.cngb.org/data_resources/project/CNP0006081/	data/CNP/CNP0006081	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0006169	https://db.cngb.org/data_resources/project/CNP0006169/	data/CNP/CNP0006169	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0007731	https://db.cngb.org/data_resources/project/CNP0007731/	data/CNP/CNP0007731	login CNGBdb; processed matrices only (skip FASTQ)
CNP	CNP0008257	https://db.cngb.org/data_resources/project/CNP0008257/	data/CNP/CNP0008257	login CNGBdb; processed matrices only (skip FASTQ)
SCP	SCP1039	https://singlecell.broadinstitute.org/single_cell/study/SCP1039	data/SCP/SCP1039	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1162	https://singlecell.broadinstitute.org/single_cell/study/SCP1162	data/SCP/SCP1162	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1288	https://singlecell.broadinstitute.org/single_cell/study/SCP1288	data/SCP/SCP1288	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1290	https://singlecell.broadinstitute.org/single_cell/study/SCP1290	data/SCP/SCP1290	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1375	https://singlecell.broadinstitute.org/single_cell/study/SCP1375	data/SCP/SCP1375	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1663	https://singlecell.broadinstitute.org/single_cell/study/SCP1663	data/SCP/SCP1663	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1830	https://singlecell.broadinstitute.org/single_cell/study/SCP1830	data/SCP/SCP1830	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP1835	https://singlecell.broadinstitute.org/single_cell/study/SCP1835	data/SCP/SCP1835	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP2162	https://singlecell.broadinstitute.org/single_cell/study/SCP2162	data/SCP/SCP2162	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP2170	https://singlecell.broadinstitute.org/single_cell/study/SCP2170	data/SCP/SCP2170	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP2176	https://singlecell.broadinstitute.org/single_cell/study/SCP2176	data/SCP/SCP2176	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP2203	https://singlecell.broadinstitute.org/single_cell/study/SCP2203	data/SCP/SCP2203	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP2601	https://singlecell.broadinstitute.org/single_cell/study/SCP2601	data/SCP/SCP2601	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP3	https://singlecell.broadinstitute.org/single_cell/study/SCP3	data/SCP/SCP3	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP354	https://singlecell.broadinstitute.org/single_cell/study/SCP354	data/SCP/SCP354	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP420	https://singlecell.broadinstitute.org/single_cell/study/SCP420	data/SCP/SCP420	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP815	https://singlecell.broadinstitute.org/single_cell/study/SCP815	data/SCP/SCP815	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP948	https://singlecell.broadinstitute.org/single_cell/study/SCP948	data/SCP/SCP948	login Broad SCP; download h5ad/Seurat from study page
SCP	SCP979	https://singlecell.broadinstitute.org/single_cell/study/SCP979	data/SCP/SCP979	login Broad SCP; download h5ad/Seurat from study page
STDS	STDS0000018	https://db.cngb.org/stomics/datasets/STDS0000018	data/STDS/STDS0000018	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000021	https://db.cngb.org/stomics/datasets/STDS0000021	data/STDS/STDS0000021	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000052	https://db.cngb.org/stomics/datasets/STDS0000052	data/STDS/STDS0000052	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000056	https://db.cngb.org/stomics/datasets/STDS0000056	data/STDS/STDS0000056	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000057	https://db.cngb.org/stomics/datasets/STDS0000057	data/STDS/STDS0000057	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000058	https://db.cngb.org/stomics/datasets/STDS0000058	data/STDS/STDS0000058	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000060	https://db.cngb.org/stomics/datasets/STDS0000060	data/STDS/STDS0000060	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000062	https://db.cngb.org/stomics/datasets/STDS0000062	data/STDS/STDS0000062	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000104	https://db.cngb.org/stomics/datasets/STDS0000104	data/STDS/STDS0000104	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000139	https://db.cngb.org/stomics/datasets/STDS0000139	data/STDS/STDS0000139	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000140	https://db.cngb.org/stomics/datasets/STDS0000140	data/STDS/STDS0000140	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000149	https://db.cngb.org/stomics/datasets/STDS0000149	data/STDS/STDS0000149	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000172	https://db.cngb.org/stomics/datasets/STDS0000172	data/STDS/STDS0000172	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000218	https://db.cngb.org/stomics/datasets/STDS0000218	data/STDS/STDS0000218	login CNGBdb; download gef/h5ad from dataset page
STDS	STDS0000227	https://db.cngb.org/stomics/datasets/STDS0000227	data/STDS/STDS0000227	login CNGBdb; download gef/h5ad from dataset page
