batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
A	AE	E-MTAB-11115	Level 2	18	1	10.1038/s41467-025-64867-0	processed .tar.gz (BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11115		data/AE/E-MTAB-11115	python3 download_ae.py	
A	AE	E-MTAB-11720	Level 1+2	64	1	10.1038/s41556-025-01838-z	FASTQ (ArrayExpress FTP; not listed on BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11720		data/AE/E-MTAB-11720	python3 download_ae.py	
A	AE	E-MTAB-14121	Level 2	25	1	10.1126/sciadv.adz1519	processed .tar.gz (BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14121		data/AE/E-MTAB-14121	python3 download_ae.py	
A	AE	E-MTAB-6149	Level 2	45	1	10.1038/s41467-023-44560-w	processed .tar.gz (BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6149		data/AE/E-MTAB-6149	python3 download_ae.py	
A	AE	E-MTAB-7407	Level 2	69	1	10.1038/s41422-021-00540-7	processed .tar.gz (BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7407	https://www.ebi.ac.uk/biostudies/files/E-MTAB-7407/FCAImmP7579227.tar.gz	data/AE/E-MTAB-7407	python3 download_ae.py	
A	AE	E-MTAB-8107	Level 2	49	1	10.1038/s41467-023-44560-w	processed .tar.gz (BioStudies Files)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8107		data/AE/E-MTAB-8107	python3 download_ae.py	
D	CNP	CNP0000927	Level 2	1	1	10.1038/s41467-022-34413-3	gef/h5ad/matrix (via linked STOmics dataset)	https://db.cngb.org/data_resources/project/CNP0000927/		data/CNP/CNP0000927	SKIP — use STDS download of STDS0000140	linked_STDS_already_in_batch_B:STDS0000140
D	CNP	CNP0001417	Level 1+2	1	1	10.1038/s41467-025-58614-8	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0001417/		data/CNP/CNP0001417	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0001543	Level 2	16	16	10.1016/j.cell.2022.10.021; 10.1038/s41420-023-01569-w; 10.1038/s41467-023-40155-7; 10.1038/s41467-023-42343-x; 10.1038/s41467-025-61476-9; 10.1038/s41467-025-64867-0; 10.1038/s41586-025-08757-x; 10.1038/s42003-025-08502-0; 10.1038/s42003-026-09841-2; 10.1093/bib/bbaf644; 10.1093/bioinformatics/btae466; 10.1093/gigascience/giad097; 10.1093/gigascience/giae042; 10.1093/nar/gkad801; 10.1186/s13059-025-03697-1; 10.3390/cells12040604	gef/h5ad/matrix (via linked STOmics dataset)	https://db.cngb.org/data_resources/project/CNP0001543/		data/CNP/CNP0001543	SKIP — use STDS download of STDS0000058	linked_STDS_already_in_batch_B:STDS0000058
D	CNP	CNP0002068	Level 2	2	2	10.1093/bib/bbaf644; 10.1371/journal.pcbi.1014346	gef/h5ad/matrix (via linked STOmics dataset)	https://db.cngb.org/data_resources/project/CNP0002068/		data/CNP/CNP0002068	SKIP — use STDS download of STDS0000056	linked_STDS_already_in_batch_B:STDS0000056
D	CNP	CNP0002199	Level 2	3	3	10.1002/mco2.70713; 10.1038/s41422-023-00831-1; 10.1371/journal.pcbi.1014346	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0002199/		data/CNP/CNP0002199	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0002310	Level 1+2	1	1	10.1136/egastro-2025-100202	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0002310/		data/CNP/CNP0002310	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0002432	Level 2	3	3	10.1002/1878-0261.13373; 10.1016/j.fmre.2022.01.036; 10.1093/bib/bbaf210	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0002432/		data/CNP/CNP0002432	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0002535	Level 1+2	1	1	10.1002/advs.202203040	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0002535/		data/CNP/CNP0002535	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0002543	Level 2	1	1	10.1002/advs.202203040	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0002543/		data/CNP/CNP0002543	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0002590	Level 2	1	1	10.3389/fgene.2022.858808	gef/h5ad/matrix (via linked STOmics dataset)	https://db.cngb.org/data_resources/project/CNP0002590/		data/CNP/CNP0002590	SKIP — use STDS download of STDS0000062	linked_STDS_already_in_batch_B:STDS0000062
