accession	access	page_url	dest_dir	n_files	example_files	example_https	dois
OMIX001298	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX001298	data/OMIX/OMIX001298	10	OMIX001298-01.zip; OMIX001298-02.zip; OMIX001298-03.zip; OMIX001298-04.zip; OMIX001298-05.zip; OMIX001298-06.zip	https://download.cncb.ac.cn/OMIX/OMIX001298/OMIX001298-01.zip; https://download.cncb.ac.cn/OMIX/OMIX001298/OMIX001298-02.zip; https://download.cncb.ac.cn/OMIX/OMIX001298/OMIX001298-03.zip	10.1038/s41420-023-01569-w
OMIX001319	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX001319	data/OMIX/OMIX001319	1	OMIX001319-01.zip	https://download.cncb.ac.cn/OMIX/OMIX001319/OMIX001319-01.zip	10.1038/s41420-023-01569-w
OMIX002367	controlled_or_no_https	https://ngdc.cncb.ac.cn/omix/release/OMIX002367	data/OMIX/OMIX002367	0			10.1002/ctm2.1515
OMIX002370	controlled_or_no_https	https://ngdc.cncb.ac.cn/omix/release/OMIX002370	data/OMIX/OMIX002370	0			10.1002/ctm2.1515
OMIX003867	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX003867	data/OMIX/OMIX003867	3	OMIX003867-01.zip; OMIX003867-02.zip; OMIX003867-03.zip	https://download.cncb.ac.cn/OMIX/OMIX003867/OMIX003867-01.zip; https://download.cncb.ac.cn/OMIX/OMIX003867/OMIX003867-02.zip; https://download.cncb.ac.cn/OMIX/OMIX003867/OMIX003867-03.zip	10.1093/bib/bbaf644
OMIX004167	controlled_or_no_https	https://ngdc.cncb.ac.cn/omix/release/OMIX004167	data/OMIX/OMIX004167	0			10.1038/s41467-025-58511-0
OMIX006111	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX006111	data/OMIX/OMIX006111	2	OMIX006111-01.h5; OMIX006111-03.tif	https://download.cncb.ac.cn/OMIX/OMIX006111/OMIX006111-01.h5; https://download.cncb.ac.cn/OMIX/OMIX006111/OMIX006111-03.tif	10.1186/s12864-024-10672-w
OMIX006113	controlled_or_no_https	https://ngdc.cncb.ac.cn/omix/release/OMIX006113	data/OMIX/OMIX006113	0			10.1016/j.isci.2025.113626
OMIX007362	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX007362	data/OMIX/OMIX007362	3	OMIX007362-01.tar.gz; OMIX007362-02.tar.gz; OMIX007362-03.tar.gz	https://download.cncb.ac.cn/OMIX/OMIX007362/OMIX007362-01.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX007362/OMIX007362-02.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX007362/OMIX007362-03.tar.gz	10.1038/s41556-025-01838-z
OMIX008455	controlled_or_no_https	https://ngdc.cncb.ac.cn/omix/release/OMIX008455	data/OMIX/OMIX008455	0			10.1016/j.xcrm.2025.102140
OMIX011674	open_direct	https://ngdc.cncb.ac.cn/omix/release/OMIX011674	data/OMIX/OMIX011674	8	OMIX011674-01.ibd; OMIX011674-02.tif; OMIX011674-03.imzML; OMIX011674-04.tar.gz; OMIX011674-05.tissue.gef; OMIX011674-06.rds	https://download.cncb.ac.cn/OMIX/OMIX011674/OMIX011674-01.ibd; https://download.cncb.ac.cn/OMIX/OMIX011674/OMIX011674-02.tif; https://download.cncb.ac.cn/OMIX/OMIX011674/OMIX011674-03.imzML	10.1093/gigascience/giag033
