accession	page_url	dest_dir
SCP1039	https://singlecell.broadinstitute.org/single_cell/study/SCP1039	data/SCP/SCP1039
SCP1162	https://singlecell.broadinstitute.org/single_cell/study/SCP1162	data/SCP/SCP1162
SCP1288	https://singlecell.broadinstitute.org/single_cell/study/SCP1288	data/SCP/SCP1288
SCP1290	https://singlecell.broadinstitute.org/single_cell/study/SCP1290	data/SCP/SCP1290
SCP1375	https://singlecell.broadinstitute.org/single_cell/study/SCP1375	data/SCP/SCP1375
SCP1663	https://singlecell.broadinstitute.org/single_cell/study/SCP1663	data/SCP/SCP1663
SCP1830	https://singlecell.broadinstitute.org/single_cell/study/SCP1830	data/SCP/SCP1830
SCP1835	https://singlecell.broadinstitute.org/single_cell/study/SCP1835	data/SCP/SCP1835
SCP2162	https://singlecell.broadinstitute.org/single_cell/study/SCP2162	data/SCP/SCP2162
SCP2170	https://singlecell.broadinstitute.org/single_cell/study/SCP2170	data/SCP/SCP2170
SCP2176	https://singlecell.broadinstitute.org/single_cell/study/SCP2176	data/SCP/SCP2176
SCP2203	https://singlecell.broadinstitute.org/single_cell/study/SCP2203	data/SCP/SCP2203
SCP2601	https://singlecell.broadinstitute.org/single_cell/study/SCP2601	data/SCP/SCP2601
SCP3	https://singlecell.broadinstitute.org/single_cell/study/SCP3	data/SCP/SCP3
SCP354	https://singlecell.broadinstitute.org/single_cell/study/SCP354	data/SCP/SCP354
SCP420	https://singlecell.broadinstitute.org/single_cell/study/SCP420	data/SCP/SCP420
SCP815	https://singlecell.broadinstitute.org/single_cell/study/SCP815	data/SCP/SCP815
SCP948	https://singlecell.broadinstitute.org/single_cell/study/SCP948	data/SCP/SCP948
SCP979	https://singlecell.broadinstitute.org/single_cell/study/SCP979	data/SCP/SCP979
